đẳng thức
đẳng trương
đắng nghét
đắt chồng
đắt khách
đặt chuyện
đất hoang
đất khách
đầu phiếu
đấu tranh
đấu trường
đầy tháng
đen nghịt
đen nhánh
đèn chiếu
đẹp duyên
đêm khuya
đêm trắng
đêm trường
đến tháng
đềnh đoàng
đểnh đoảng
đễnh đoãng
địa chánh
địa chính
địa phương
đích danh
đích đáng
đích thân
đích thực
địch quân
điên cuồng
điên điển
điên khùng
điên loạn
điên tiết
điển tích
điện thoại
điện tích
điều khoản
điều kiện
điều luật
đinh ghim
đinh hương
đinh khuy
đình chiến
đình công
đình hoãn
đình huỳnh
đình khôi
đình nguyên
đình thần
đỉnh chung
đính chính
đính giao
định bụng
định canh
định đoạt
định hình
định hướng
định kiến
định liệu
định luật
định lượng
định mạng
định mệnh
định nghĩa
định phận
định thần
định thức
định tính
đoái tưởng
đoan chính
đoan trang
đoan trinh
đoàn trưởng
đoàn viên
đoản kiếm
đoản mạch
đoản mệnh
đoản thiên
đoán chừng
đoán phỏng
đoán trước
đoạn nhiệt
đoạn tang
đoạn trường
đoạn tuyệt
đoạt chức
đòn triêng
đón đường
đòng đòng
đóng băng
đóng chai
đóng chóc
đóng chốt
đóng đinh
đóng khung
đóng kịch
đóng phim
đóng quân
đóng thuế
đô trưởng
đốc chứng
độc chiếm
độc miệng
độc quyền
độc thoại
đổi giọng
đối chiếu
đối chứng
đối kháng
đối ngoại
đối phương
đối thoại
đối trọng
đối tượng
đội trưởng
đồn trưởng
đông cung
đông dược
đông nghịt
đồng nghĩa
đồng tiền
đổng nhung
động binh
động chạm
động dụng
động hình
động mạch
động tiên
động tình
động tĩnh
động viên
đột nhiên
đời người
đơn chiếc
đơn thuần
đơn thuốc
đua thuyền
đua tranh
đùa nghịch
đũa khuấy
đục khoét
đùng đoàng
đùng đùng
đủng đỉnh
đụng chạm
đuôi nheo
đuổi theo
đưa đường
đứng bóng
đứng đường
đứng tuổi
đứng vững
được lòng
được nước
được quyền
được việc
đương chức
đương cục
đương đại
đương đầu
đương kim
đương nhiệm
đương nhiên
đương quy
đương thì
đương thời
đương triều
đường băng
đường biên
đường biển
đường cái
đường cày
đường cấm
đường chéo
đường cùng
đường dây
đường đạn
đường đất
đường đời
đường đường
đường huyền
đường kính
đường lối
đường mòn
đường ngôi
đường phố
đường sắt
đường tắt
đường thẳng
đường thắng
đường tránh
đường tròn
đường trường
đường vòng
đường xoi
đường xuôi
